# docker scout cves testhand-audit05-app:cff8a75 --only-severity critical,high (15 sept. 2026)
CRITICAL | CVE-2026-59873 | pkg:npm/tar@7.5.11 | 7.5.19 | /usr/local/lib/node_modules/npm/node_modules/tar/package.json
CRITICAL | CVE-2026-63073 | pkg:apk/alpine/openssl@3.5.7-r0?os_name=alpine&os_version=3.24 | 3.5.8-r0 | /lib/apk/db/installed
CRITICAL | CVE-2026-75803 | pkg:apk/alpine/openssl@3.5.7-r0?os_name=alpine&os_version=3.24 | 3.5.8-r0 | /lib/apk/db/installed
HIGH | CVE-2026-13149 | pkg:npm/brace-expansion@2.0.2 | 2.1.2 | /usr/local/lib/node_modules/npm/node_modules/brace-expansion/package.json
HIGH | CVE-2026-14257 | pkg:npm/brace-expansion@2.0.2 | 5.0.8 | /usr/local/lib/node_modules/npm/node_modules/brace-expansion/package.json
HIGH | CVE-2026-14456 | pkg:apk/alpine/openssl@3.5.7-r0?os_name=alpine&os_version=3.24 | 3.5.8-r0 | /lib/apk/db/installed
HIGH | CVE-2026-14457 | pkg:apk/alpine/openssl@3.5.7-r0?os_name=alpine&os_version=3.24 | 3.5.8-r0 | /lib/apk/db/installed
HIGH | CVE-2026-18446 | pkg:npm/fast-uri@3.1.4 | 3.1.5 | /app/node_modules/fast-uri/package.json
HIGH | CVE-2026-18446 | pkg:npm/fast-uri@4.1.1 | 4.1.2 | /app/node_modules/fast-json-stringify/node_modules/fast-uri/package.json
HIGH | CVE-2026-18798 | pkg:apk/alpine/openssl@3.5.7-r0?os_name=alpine&os_version=3.24 | 3.5.8-r0 | /lib/apk/db/installed
HIGH | CVE-2026-33671 | pkg:npm/picomatch@4.0.3 | 4.0.4 | /usr/local/lib/node_modules/npm/node_modules/picomatch/package.json
HIGH | CVE-2026-48815 | pkg:npm/sigstore@3.1.0 | 4.1.1 | /usr/local/lib/node_modules/npm/node_modules/sigstore/package.json
HIGH | CVE-2026-54874 | pkg:apk/alpine/openssl@3.5.7-r0?os_name=alpine&os_version=3.24 | 3.5.8-r0 | /lib/apk/db/installed
HIGH | CVE-2026-59874 | pkg:npm/tar@7.5.11 | 7.5.18 | /usr/local/lib/node_modules/npm/node_modules/tar/package.json
HIGH | CVE-2026-63072 | pkg:apk/alpine/openssl@3.5.7-r0?os_name=alpine&os_version=3.24 | 3.5.8-r0 | /lib/apk/db/installed
HIGH | CVE-2026-63075 | pkg:apk/alpine/openssl@3.5.7-r0?os_name=alpine&os_version=3.24 | 3.5.8-r0 | /lib/apk/db/installed
HIGH | CVE-2026-63076 | pkg:apk/alpine/openssl@3.5.7-r0?os_name=alpine&os_version=3.24 | 3.5.8-r0 | /lib/apk/db/installed
HIGH | CVE-2026-69152 | pkg:npm/brace-expansion@2.0.2 | 2.1.4 | /usr/local/lib/node_modules/npm/node_modules/brace-expansion/package.json
HIGH | CVE-2026-69192 | pkg:npm/ip-address@10.1.0 | 10.3.1 | /usr/local/lib/node_modules/npm/node_modules/ip-address/package.json
HIGH | CVE-2026-73566 | pkg:npm/tar@7.5.11 | 7.5.21 | /usr/local/lib/node_modules/npm/node_modules/tar/package.json
HIGH | CVE-2026-75899 | pkg:npm/fast-uri@3.1.4 | 3.1.6 | /app/node_modules/fast-uri/package.json
HIGH | CVE-2026-75899 | pkg:npm/fast-uri@4.1.1 | 4.1.3 | /app/node_modules/fast-json-stringify/node_modules/fast-uri/package.json
HIGH | CVE-2026-75931 | pkg:npm/fast-uri@3.1.4 | 3.1.6 | /app/node_modules/fast-uri/package.json
HIGH | CVE-2026-75931 | pkg:npm/fast-uri@4.1.1 | 4.1.3 | /app/node_modules/fast-json-stringify/node_modules/fast-uri/package.json
HIGH | CVE-2026-75975 | pkg:npm/fast-uri@3.1.4 | 3.1.6 | /app/node_modules/fast-uri/package.json
HIGH | CVE-2026-75975 | pkg:npm/fast-uri@4.1.1 | 4.1.3 | /app/node_modules/fast-json-stringify/node_modules/fast-uri/package.json
HIGH | CVE-2026-76172 | pkg:npm/fast-uri@3.1.4 | 3.1.6 | /app/node_modules/fast-uri/package.json
HIGH | CVE-2026-76172 | pkg:npm/fast-uri@4.1.1 | 4.1.3 | /app/node_modules/fast-json-stringify/node_modules/fast-uri/package.json
HIGH | CVE-2026-9496 | pkg:npm/pacote@19.0.2 | 21.5.1 | /usr/local/lib/node_modules/npm/node_modules/pacote/package.json
HIGH | CVE-2026-9496 | pkg:npm/pacote@20.0.1 | 21.5.1 | /usr/local/lib/node_modules/npm/node_modules/@npmcli/metavuln-calculator/node_modules/pacote/package.json
